name,state,requestTime,requestedResourceName,requestedReason.type,requestedReason.detail,requestedExpiration,requestedLocations
projects/320306361664/approvalRequests/kHtUYaYOTPO3PGjXPvJheQ,N/A,2025-02-18T16:17:31.127222Z,//iam.googleapis.com/projects/320306361664,CUSTOMER_INITIATED_SUPPORT,Case Number: 57152311,2025-02-23T16:17:30.468Z,"{""principalOfficeCountry"": ""ANY"", ""principalPhysicalLocationCountry"": ""ANY""}"
projects/320306361664/approvalRequests/VNwhklpeReOLFlsc_IepRw,N/A,2025-02-18T16:17:27.459550Z,//iam.googleapis.com/projects/320306361664,CUSTOMER_INITIATED_SUPPORT,Case Number: 57152311,2025-02-23T16:17:26.820Z,"{""principalOfficeCountry"": ""ANY"", ""principalPhysicalLocationCountry"": ""ANY""}"
projects/320306361664/approvalRequests/FpnTVWvZSyK39c5JFrgwnA,N/A,2025-02-18T16:13:16.297236Z,//orgpolicy.googleapis.com/projects/320306361664,CUSTOMER_INITIATED_SUPPORT,Case Number: 57152311,2025-02-23T16:13:15.651Z,"{""principalOfficeCountry"": ""ANY"", ""principalPhysicalLocationCountry"": ""ANY""}"
